id,url,name,article_ids
1,https://ecrivanalyse.net/spip.php?auteur1,Écrivanalyse,118 | 136 | 1090 | 1137 | 1637 | 1646 | 1648 | 1713 | 1744 | 1782 | 1864 | 1869
18,https://ecrivanalyse.net/spip.php?auteur18,Perrine Tamerlis,129 | 130 | 131 | 132 | 134
19,https://ecrivanalyse.net/spip.php?auteur19,Ivan Joseph,3458 | 3459 | 3460 | 3461 | 3466 | 3491 | 3493 | 3494 | 3495 | 3497 | 3498 | 3499 | 3502 | 3505 | 3506 | 3510 | 3512 | 3516 | 3517 | 3518
21,https://ecrivanalyse.net/spip.php?auteur21,Annick Lebédyk,162 | 183 | 193 | 195 | 201 | 202 | 217 | 226 | 227 | 237 | 238 | 245 | 257 | 265 | 266 | 270 | 273 | 283 | 284 | 290
27,https://ecrivanalyse.net/spip.php?auteur27,Anna,167 | 168 | 169 | 170 | 182 | 192 | 206 | 207 | 208 | 209 | 210 | 211 | 212 | 213 | 249 | 250 | 251 | 252 | 253 | 254
